,受入数
法学部,32.924
経済学部,32.983
A群（思想文化）,16.082
B群（歴史文化_日本史学）,8.939
C群（歴史文化_東洋史学）,14.642
D群（歴史文化_西洋史学）,9.77
E群（歴史文化_考古学）,3.173
F群（歴史文化_美術史学）,0.635
G群（言語文化）,23.38
H群（心理学）,4.0
I群（社会心理学）,3.312
J群（社会学）,6.999
基礎教育学,3.281
比較教育社会学,2.0
教育実践・政策学,3.893
教育心理学,1.034
身体教育学,4.296
薬学部,0.003
医学,1.229
健康総合科学,2.458
超域文化科学,1.055
地域文化研究,4.057
総合社会科学,1.123
数理自然科学,0.0
物質基礎科学,0.0
統合生命科学,0.938
認知行動科学,0.0
Ａ 群,0.044
Ｂ 群,0.004
教養学科国際日本研究コース,1.203
学際科学科国際環境学コース,1.169
生命化学・工学,0.004
応用生物学,0.003
森林生物科学,0.295
水圏生物科学,0.0
動物生命システム科学,0.0
生物素材化学,0.0
緑地環境学,0.0
森林環境資源科学,6.019
木質構造科学,0.0
生物・環境工学,0.13
農業・資源経済学,0.849
フィールド科学,1.003
国際開発農学,5.0
獣医学課程獣医学,0.002
社会基盤学Ａ（設計・技術戦略）,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.002
社会基盤学Ｃ（国際プロジェクト）,0.0
建築学,2.002
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,2.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.005
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0.0
機械工学B,0.0
航空宇宙学,0.001
精密工学,3.0
電子情報工学,9.902
電気電子工学,0.0
応用物理・物理工学,3.0
計数工学・数理/ｼｽﾃﾑ情報,3.0
マテリアル工学A,0.189
マテリアル工学B,2.985
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0.0
応用化学,11.166
化学システム工学,9.379
化学生命工学,5.868
システム創成A,0.184
システム創成B,0.0
システム創成C,0.0
数学,12.957
情報科学,10.0
物理学,20.978
天文学,4.0
地球惑星物理学,10.0
地球惑星環境学,2.0
化学,0.0
生物化学,0.0
生物情報科学,0.0
生物学,9.982
