,受入数
法学部,120.733
経済学部,97.991
A群（思想文化）,17.324
B群（歴史文化_日本史学）,6.192
C群（歴史文化_東洋史学）,6.127
D群（歴史文化_西洋史学）,6.413
E群（歴史文化_考古学）,3.401
F群（歴史文化_美術史学）,6.42
G群（言語文化）,23.961
H群（心理学）,6.0
I群（社会心理学）,5.778
J群（社会学）,15.999
基礎教育学,5.361
比較教育社会学,5.0
教育実践・政策学,7.907
教育心理学,6.984
身体教育学,5.442
薬学部,25.287
医学,35.851
健康総合科学,8.335
超域文化科学,11.983
地域文化研究,9.374
総合社会科学,9.96
数理自然科学,2.0
物質基礎科学,8.0
統合生命科学,8.977
認知行動科学,2.0
Ａ 群,4.983
Ｂ 群,3.998
教養学科国際日本研究コース,1.437
学際科学科国際環境学コース,1.646
生命化学・工学,20.862
応用生物学,6.049
森林生物科学,1.987
水圏生物科学,5.996
動物生命システム科学,3.0
生物素材化学,5.987
緑地環境学,2.0
森林環境資源科学,9.282
木質構造科学,3.0
生物・環境工学,5.285
農業・資源経済学,12.291
フィールド科学,3.0
国際開発農学,8.0
獣医学課程獣医学,6.688
社会基盤学Ａ（設計・技術戦略）,6.952
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,5.976
社会基盤学Ｃ（国際プロジェクト）,2.995
建築学,15.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,6.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,10.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,31.0
機械工学B,13.0
航空宇宙学,17.98
精密工学,14.0
電子情報工学,24.0
電気電子工学,21.0
応用物理・物理工学,17.0
計数工学・数理/ｼｽﾃﾑ情報,21.0
マテリアル工学A,8.134
マテリアル工学B,15.702
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,10.0
応用化学,9.416
化学システム工学,12.082
化学生命工学,12.24
システム創成A,11.638
システム創成B,11.0
システム創成C,14.0
数学,12.986
情報科学,10.0
物理学,20.997
天文学,4.0
地球惑星物理学,10.0
地球惑星環境学,6.0
化学,13.0
生物化学,6.0
生物情報科学,5.0
生物学,9.997
