,受入数
法学部,33.997
経済学部,18.0
A群（思想文化）,12.0
B群（歴史文化_日本史学）,4.0
C群（歴史文化_東洋史学）,6.0
D群（歴史文化_西洋史学）,5.0
E群（歴史文化_考古学）,2.684
F群（歴史文化_美術史学）,1.013
G群（言語文化）,14.995
H群（心理学）,4.0
I群（社会心理学）,3.0
J群（社会学）,6.999
基礎教育学,2.758
比較教育社会学,2.0
教育実践・政策学,3.925
教育心理学,1.0
身体教育学,5.442
薬学部,0.323
医学,1.0
健康総合科学,2.77
超域文化科学,1.0
地域文化研究,2.0
総合社会科学,1.0
数理自然科学,0.0
物質基礎科学,0.0
統合生命科学,0.988
認知行動科学,0.0
Ａ 群,0.0
Ｂ 群,0.0
教養学科国際日本研究コース,1.437
学際科学科国際環境学コース,1.646
生命化学・工学,0.0
応用生物学,0.0
森林生物科学,0.588
水圏生物科学,0.0
動物生命システム科学,0.0
生物素材化学,0.0
緑地環境学,0.0
森林環境資源科学,8.282
木質構造科学,0.0
生物・環境工学,0.925
農業・資源経済学,0.0
フィールド科学,1.0
国際開発農学,5.0
獣医学課程獣医学,0.0
社会基盤学Ａ（設計・技術戦略）,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0
建築学,2.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,2.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0.0
機械工学B,0.0
航空宇宙学,0.0
精密工学,3.0
電子情報工学,10.0
電気電子工学,0.0
応用物理・物理工学,3.0
計数工学・数理/ｼｽﾃﾑ情報,3.0
マテリアル工学A,0.914
マテリアル工学B,0.0
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0.0
応用化学,0.0
化学システム工学,0.0
化学生命工学,1.0
システム創成A,0.892
システム創成B,0.0
システム創成C,0.0
数学,12.986
情報科学,10.0
物理学,20.997
天文学,4.0
地球惑星物理学,10.0
地球惑星環境学,2.0
化学,0.0
生物化学,0.0
生物情報科学,0.0
生物学,9.997
